iter	Passed	Remaining
0	147	147249
1	148	73954
2	148	49462
3	149	37223
4	150	29861
5	150	24952
6	151	21443
7	151	18815
8	152	16769
9	152	15129
10	153	13792
11	153	12675
12	154	11744
13	155	10935
14	155	10234
15	156	9623
16	157	9085
17	157	8608
18	158	8177
19	159	7792
20	159	7444
21	160	7127
22	160	6837
23	161	6572
24	162	6331
25	162	6106
26	163	5896
27	164	5703
28	164	5521
29	165	5352
30	166	5194
31	166	5044
32	167	4903
33	167	4771
34	169	4659
35	169	4545
36	170	4435
37	171	4334
38	171	4235
39	172	4139
40	173	4047
41	173	3960
42	174	3878
43	174	3799
44	175	3723
45	176	3661
46	177	3592
47	177	3526
48	178	3466
49	179	3406
50	180	3350
51	180	3294
52	181	3241
53	182	3190
54	182	3141
55	183	3094
56	184	3046
57	184	3000
58	185	2957
59	186	2916
60	186	2875
61	187	2834
62	188	2798
63	188	2762
64	189	2726
65	190	2691
66	190	2658
67	191	2621
68	191	2589
69	192	2557
70	193	2528
71	193	2499
72	194	2470
73	195	2441
74	196	2417
75	196	2390
76	197	2365
77	197	2339
78	198	2314
79	199	2290
80	199	2266
81	200	2243
82	201	2221
83	201	2199
84	202	2175
85	202	2154
86	203	2132
87	203	2112
88	204	2093
89	205	2073
90	205	2056
91	206	2037
92	207	2019
93	207	2001
94	208	1985
95	209	1968
96	209	1951
97	210	1940
98	211	1924
99	212	1909
100	212	1894
101	213	1877
102	213	1862
103	214	1848
104	215	1832
105	215	1818
106	216	1805
107	217	1792
108	217	1778
109	218	1765
110	218	1753
111	219	1740
112	220	1727
113	220	1715
114	221	1703
115	221	1690
116	222	1680
117	223	1670
118	223	1658
119	224	1646
120	225	1636
121	225	1626
122	226	1613
123	226	1603
124	227	1592
125	228	1583
126	229	1574
127	229	1563
128	230	1553
129	230	1544
130	231	1535
131	232	1526
132	232	1517
133	233	1508
134	234	1499
135	234	1490
136	235	1482
137	235	1472
138	236	1464
139	237	1456
140	237	1448
141	238	1439
142	238	1431
143	239	1424
144	240	1416
145	240	1408
146	241	1401
147	242	1393
148	242	1385
149	243	1379
150	244	1372
151	244	1365
152	245	1357
153	245	1351
154	246	1344
155	247	1337
156	247	1330
157	248	1323
158	249	1317
159	249	1311
160	250	1304
161	251	1299
162	252	1294
163	252	1288
164	253	1281
165	253	1275
166	254	1270
167	255	1264
168	255	1258
169	256	1253
170	257	1247
171	257	1241
172	258	1235
173	259	1230
174	259	1224
175	260	1219
176	261	1214
177	261	1208
178	262	1203
179	263	1198
180	263	1191
181	264	1186
182	264	1181
183	265	1176
184	266	1172
185	266	1167
186	267	1162
187	267	1157
188	268	1152
189	269	1147
190	269	1143
191	270	1138
192	271	1134
193	271	1129
194	272	1125
195	273	1120
196	273	1116
197	274	1111
198	275	1107
199	275	1102
200	276	1099
201	277	1094
202	277	1091
203	278	1087
204	279	1083
205	279	1078
206	280	1075
207	281	1071
208	281	1067
209	282	1062
210	283	1058
211	283	1055
212	284	1051
213	285	1047
214	285	1043
215	286	1039
216	287	1036
217	287	1032
218	288	1028
219	289	1025
220	289	1021
221	290	1017
222	290	1013
223	291	1009
224	292	1006
225	292	1002
226	293	999
227	294	995
228	294	992
229	295	989
230	295	985
231	296	981
232	297	978
233	297	974
234	298	971
235	299	968
236	299	964
237	300	961
238	301	958
239	301	955
240	302	952
241	302	948
242	303	945
243	304	942
244	304	939
245	305	936
246	306	932
247	306	929
248	307	926
249	308	924
250	308	921
251	309	918
252	310	915
253	310	912
254	311	909
255	311	906
256	312	903
257	313	900
258	313	897
259	314	894
260	315	892
261	315	889
262	316	886
263	317	884
264	317	881
265	318	878
266	318	875
267	319	873
268	320	870
269	320	867
270	321	865
271	322	862
272	322	859
273	323	857
274	324	855
275	325	852
276	325	850
277	326	847
278	326	845
279	327	842
280	328	840
281	328	837
282	329	834
283	330	832
284	330	830
285	331	827
286	332	825
287	332	822
288	333	820
289	334	817
290	334	815
291	335	813
292	336	810
293	336	808
294	337	806
295	338	804
296	338	801
297	339	799
298	340	797
299	340	795
300	341	792
301	342	790
302	342	788
303	343	786
304	343	783
305	344	781
306	345	779
307	345	777
308	346	774
309	347	773
310	347	770
311	348	768
312	349	766
313	349	764
314	350	762
315	351	760
316	351	758
317	352	755
318	353	753
319	353	751
320	354	749
321	355	747
322	355	745
323	356	743
324	357	741
325	357	739
326	358	737
327	358	735
328	359	733
329	360	731
330	360	729
331	361	727
332	362	725
333	362	723
334	363	721
335	364	719
336	364	717
337	365	716
338	366	714
339	367	713
340	368	711
341	368	709
342	369	708
343	370	706
344	371	704
345	371	702
346	372	700
347	373	698
348	373	696
349	374	694
350	374	693
351	375	691
352	376	689
353	377	687
354	377	686
355	378	684
356	379	683
357	380	681
358	380	680
359	381	678
360	382	676
